auto,Basics,,,,,,,,,,to delete,Elims,,,,Deaths,,,,,,,,,,,,,,,,
auto?,# Players,# Cycles,# Posts,Fundamentals,Winner,Complexity,Role Madness,Anon?,Mech,Dist,Broken,# Elims,Elim %,# Xed,# Vig'd,# Deaths,# Survivors,# E killed,# M killed,# N killed,# V killed,# FF,# Xed,# I killed,# pinchhitters,# Spectators,GM(s),IM,Start/End date?,Title/Link,Sanderson? ,World
LG12,36,9,1301,EE,V,Complex,FALSE,FALSE,,,Broken Mechanics,8,22.2%,3,4,21,10,3,0,2,4,3,9,0,,4,,,,Shadows of Elantris,TRUE,Sel
QF8,22,11,529,V/E,V,Standard,FALSE,FALSE,,,Well Balanced,4,18.2%,3,1,21,1,6,0,0,1,2,12,0,,22,,,,The Steelway Express,TRUE,Scadrial
MR7,27,12?,665,FAC,V,Faction/FFA,FALSE,FALSE,,,Broken Mechanics,4,14.8%,1,0,4,10,0,0,3,0,0,1,0,,18,,,,Eighty Splendid Suns,TRUE,Sel
LG13,27,8,607,V/E,V,Standard,FALSE,FALSE,,,Balanced,5,18.5%,3,2,17,10,5,0,0,2,4,6,0,,13,,,,Traitors on the Plains,TRUE,Roshar
QF9,19,6,271,V/E,E,Basic,FALSE,FALSE,,,Balanced,4,21.1%,1,0,13,6,6,0,1,0,0,6,0,,18,,,,The Court of the Gods,TRUE,Nalthis
MR8,29,13,976,V/E,E,Standard,FALSE,FALSE,,,Well Balanced,5,17.2%,1,1,24,5,11,0,0,1,3,8,1,,11,,,,Highborn Intrigue,TRUE,Roshar
LG14,28,15,1250,V/E,V,Semi Standard,FALSE,FALSE,,,Broken Mech. and Dist,6,21.4%,5,1,25,3,6,0,0,1,5,12,1,,18,,,,To Shatter a Shard,TRUE,Cross-Cosmere
QF10,21,11,645,V/E,E,Standard,FALSE,FALSE,,,Balanced,4,19.0%,2,0,17,4,9,0,0,0,0,8,0,,21,,,,Scadrial Atium Rush,TRUE,Scadrial
MR9,27,11,821,V/E,V,Standard,FALSE,FALSE,,,Well Balanced,7,25.9%,4,2,22,5,7,0,0,2,2,10,1,,15,,,,The Steel Ministry,TRUE,Scadrial
LG15.1,26,1,209,V/E,E,Standard,FALSE,FALSE,,,Broken Mechanics,6,23.1%,0,0,0,26,0,0,0,0,0,0,0,,16,,,,The Shards Themselves...,TRUE,Cross-Cosmere
LG15.2,32,10,1484,V/E,V,Standard,FALSE,FALSE,,,Broken Distribution,7,21.9%,3,3,24,8,6,0,0,3,5,10,0,,9,,,,,TRUE,Cross-Cosmere
QF11,17,7,285,V/E,E,Basic,FALSE,FALSE,,,Well Balanced,3,17.6%,0,0,12,5,5,0,0,0,0,2,5,,20,,,,Cultists in a Snowstorm,TRUE,Sel
MR10,36,11,937,V/E,E,Semi Standard,FALSE,FALSE,,,Balanced,8,22.2%,0,1,27,9,14,0,0,1,5,7,0,,8,,,,Divided Loyalties,TRUE,Roshar
AG2,28,11,869,V/E,E,Standard,FALSE,FALSE,,,Well Balanced,5,17.9%,1,0,18,10,11,0,0,0,0,6,1,,18,,,,Return of the Koloss,TRUE,Scadrial
QF12,19,6,366,V/E,E,Standard,FALSE,FALSE,,,Balanced,4,21.1%,1,0,13,6,4,1,2,1,1,4,0,,22,,,,The Time of Reckoning,TRUE,Reckoners
LG16,19,8,529,V/E,V,Standard,FALSE,FALSE,,,Well Balanced,4,21.1%,3,0,17,2,5,1,0,0,3,7,1,,18,,,,Empty Throne Pt 2: The Catacombs,TRUE,Reckoners
MR11,18,6,493,V/E,E,Semi Standard,FALSE,FALSE,,,Well Balanced,4,22.2%,0,0,12,6,4,0,2,0,0,6,0,,19,,,,Paradise Lost,TRUE,First of the Sun
LG17,21,9,581,V/E,V,Semi Standard,FALSE,FALSE,,,Balanced,4,19.0%,3,1,17,4,7,0,0,1,0,5,4,,13,,,,Heronfall,TRUE,Scadrial
QF13,17,5,311,V/E,V,Standard,FALSE,FALSE,,,Broken Mechanics,4,23.5%,2,2,11,6,4,0,0,2,0,4,1,,18,,,,Winter is Coming,FALSE,Game of Thrones
LG18,24,7,1161,V/E,V,Complex,FALSE,FALSE,,,Broken Mech. and Dist,4,16.7%,0,4,13,8,0,0,7,4,2,0,0,,17,,,,Holly and Iron,FALSE,KKC
MR12,26,6,793,FAC,F,Semi Standard,FALSE,FALSE,,,Well Balanced,6,23.1%,2,2,14,12,2,0,4,2,0,4,2,,14,,,,Turf War,TRUE,Reckoners
LG19,17,8,624,V/E,E,Complex,FALSE,FALSE,,,Broken Mechanics,8,47.1%,4,3,14,3,6,0,0,4,0,4,0,,21,,,,Twinborn City,TRUE,Scadrial
QF14,23,12,687,,D,Semi Standard,FALSE,FALSE,,,Balanced,5,21.7%,0,3,23,0,2,1,13,3,4,0,0,,15,,,,Corruption in the Senate,TRUE,Scadrial
MR13,19,5,278,V/E,E,Standard,FALSE,FALSE,,,Very Broken Mechanics,4,21.1%,0,0,12,7,7,0,0,0,1,3,1,,16,,,,Treachery in the Terris Peaks,TRUE,Scadrial
LG20,28,12,1130,V/E,V,Semi Standard,FALSE,FALSE,,,Broken Distribution,5,17.9%,2,2,22,5,6,0,2,2,5,7,0,,10,,,,Warcamp Enigmas,TRUE,Roshar
QF15,22,7,652,V/E,E,Semi Standard,FALSE,FALSE,,,Broken Mechanics,7,31.8%,1,0,16,6,7,0,3,0,0,6,0,,16,,,,Death Note,FALSE,Death Note
LG21,27,6,1044,V/E,E,Complex,FALSE,FALSE,,,Broken Mechanics,5,18.5%,0,0,13,13,3,3,4,0,1,2,0,,13,,,,To Reforge a God,TRUE,Cross-Cosmere
MR14,18,5,554,V/E,V,Semi Standard,FALSE,FALSE,,,Broken Mechanics,4,22.2%,2,2,11,7,3,0,0,2,1,4,1,,16,,,,The Canim Fury,FALSE,Codex Alera
