,,auto,Basics,,,,,,,,,,to delete,Elims,,,,Deaths,,,,,,,,,,,,,,,,,,
format,num,auto?,# Players,# Cycles,# Posts,Fundamentals,Winner,Complexity,Role Madness,Anon,Mech,Dist,Broken,# Elims,Elim %,# Xed,# Vig'd,# Deaths,# Survivors,# E killed,# M killed,# N killed,# V killed,# FF,# Xed,# I killed,# pinchhitters,# Spectators,GM(s),IM,Title/Link,Sanderson? ,World,start_date,end_date,link
MR,16,MR16,22,10,537,FAC,F,Faction/FFA,FALSE,,,,Well Balanced,0,0.0%,0,0,20,2,0,0,11,0,0,6,3,,0,,,War of the (Cosmere) Worlds),TRUE,Cross-Cosmere,,,
LG,26,LG26,35,9,1344,FAC,Misc,Complex,FALSE,,,,Broken Mech. and Dist,10,28.6%,4,0,17,18,3,0,6,0,0,6,2,,0,,,Cognitive Dissonance,TRUE,Cross-Cosmere,,,
QF,18,QF18,15,7,323,V/E,V,Semi Standard,FALSE,,,,Broken Mechanics,4,26.7%,3,1,13,2,5,0,0,1,0,6,1,,2,,,The Black Prism,FALSE,Black Prism,,,
MR,17,MR17,21,8,589,V/E,E,Semi Standard,FALSE,,,,Broken Mechanics,7,33.3%,2,1,16,4,3,5,1,1,0,5,1,,0,,,Hic Sunt Leones,FALSE,Red Rising,,,
LG,27,LG27,22,7,392,FAC,F,Complex,FALSE,,,,Very Broken Mechanics,0,0.0%,0,0,14,8,0,0,8,0,0,6,0,,2,,,Strife in Ankh Morpork,FALSE,Discworld,,,
QF,19,QF19,24,7,464,V/E,V,Standard,FALSE,,,,Balanced,6,25.0%,4,1,22,2,6,0,1,1,3,7,4,,2,,,Noble Intentions,TRUE,Scadrial,,,
LG,28,LG28,34,11,980,CON,V,Complex,FALSE,,,,Broken Mechanics,6,17.6%,4,0,22,12,9,0,0,0,3,10,0,,5,,,Awakening at the House on the Hill,TRUE,Nalthis,,,
MR,18,MR18,19,7,357,V/E,E,Basic,FALSE,,,,Well Balanced,5,26.3%,1,0,15,4,6,0,0,0,0,7,2,,3,,,Patji's Cauldron,TRUE,First of the Sun,,,
QF,20,QF20,23,8,434,V/E,E,Standard,FALSE,,,,Balanced,4,17.4%,2,0,21,2,8,0,0,0,0,8,5,,4,,,Summitmist Manor,FALSE,Elder Scrolls,,,
LG,29,LG29,29,8,984,V/E,E,Complex,FALSE,,,,Broken Mechanics,8,27.6%,1,0,14,15,2,4,2,0,0,6,0,,3,,,A Mote in Adonalsium's Eye,TRUE,Cross-Cosmere,,,
