,game_string,num_cycles,num_posts,fundamentals,winner,complexity,broken,setting,world,is_anon,format,game_num,is_broken,game_id,IM_id
32,QF10,11,645.0,V/E,E,Standard,Balanced,Cosmere,,,QF,10.0,,33,12.0
33,MR9,11,821.0,V/E,V,Standard,Well Balanced,Cosmere,,,MR,9.0,,34,12.0
34,LG15.1,1,209.0,V/E,E,Standard,Broken Mechanics,Cosmere,,,LG,15.1,Y,35,7.0
35,LG15.2,10,1484.0,V/E,V,Standard,Broken Distribution,Cosmere,,,LG,15.2,Y,36,1.0
36,QF11,7,285.0,V/E,E,Basic,Well Balanced,Cosmere,,,QF,11.0,,37,12.0
37,MR10,11,937.0,V/E,E,Semi Standard,Balanced,Cosmere,,,MR,10.0,Y,38,1.0
38,AG2,11,869.0,V/E,E,Standard,Well Balanced,Cosmere,,,AG,2.0,,39,12.0
39,QF12,6,366.0,V/E,E,Standard,Balanced,Non Cosmere,,,QF,12.0,,40,20.0
40,LG16,8,529.0,V/E,V,Standard,Well Balanced,Non Cosmere,,,LG,16.0,,41,12.0
41,MR11,6,493.0,V/E,E,Semi Standard,Well Balanced,Cosmere,,,MR,11.0,,42,20.0
42,LG17,9,581.0,V/E,V,Semi Standard,Balanced,Cosmere,,,LG,17.0,,43,12.0
43,QF13,5,311.0,V/E,V,Standard,Broken Mechanics,Non Sanderson,,,QF,13.0,Y,44,1.0
44,LG18,7,1161.0,V/E,V,Complex,Broken Mech. and Dist,Non Sanderson,,,LG,18.0,Y,45,20.0
45,MR12,6,793.0,Faction,F,Semi Standard,Well Balanced,Non Cosmere,,,MR,12.0,,46,12.0
46,LG19,8,624.0,V/E,E,Complex,Broken Mechanics,Cosmere,,,LG,19.0,Y,47,20.0
47,QF14,12,687.0,,D,Semi Standard,Balanced,Cosmere,,,QF,14.0,,48,1.0
48,MR13,5,278.0,V/E,E,Standard,Very Broken Mechanics,Cosmere,,,MR,13.0,,49,20.0
49,LG20,12,1130.0,V/E,V,Semi Standard,Broken Distribution,Cosmere,,,LG,20.0,Y,50,1.0
50,QF15,7,652.0,V/E,E,Semi Standard,Broken Mechanics,Non Sanderson,,,QF,15.0,,51,12.0
51,LG21,6,1044.0,V/E,E,Complex,Broken Mechanics,Cosmere,,,LG,21.0,Y,52,12.0
